,r,p-value,lower,upper
0.1x,-0.17234262125902994,0.49407642787678374,-0.6795874650324913,0.3854954085798078
0.2x,-0.11455108359133126,0.6508342238705324,-0.5406769239568737,0.34737931669017963
0.3x,-0.18885448916408668,0.4529458223784959,-0.6312211964010874,0.31522583725110137
0.4x,-0.07327141382868937,0.7726309674360764,-0.6738803218236674,0.4985043532134808
0.5x,0.24664602683178533,0.32380881293776365,-0.3215087141150971,0.7131114669523112
1.01x,-0.021671826625386997,0.9319797351987382,-0.5110318661291214,0.4965257923156459
1.5x,0.4262125902992776,0.07778293683965698,-0.07690105446058601,0.7606831145399185
3x,-0.07739938080495357,0.7601672386317742,-0.6039665970772442,0.4391549309630198
5x,-0.07120743034055728,0.7788829476841138,-0.5336015364995066,0.3920448129620146
7x,0.3003095975232198,0.22595992422709757,-0.29119216074713455,0.7274221362705253
10x,0.33952528379772956,0.1680708348883216,-0.19249732929760532,0.7759338301916962
