,r,p-value,lower,upper
0.1x-prior,0.31475748194014447,0.20331354771785815,-0.2418819664437405,0.7347715624138881
0.2x-prior,0.27966976264189886,0.2610264770684414,-0.2860611658232137,0.7288913147375737
0.3x-prior,0.2631578947368421,0.29139239227836833,-0.32443508482435374,0.7045112353637536
0.4x-prior,0.24045407636738902,0.33648964736439546,-0.32795727946548386,0.7444897309504582
0.5x-prior,0.23013415892672856,0.35825371050744337,-0.38861811835633836,0.7047797162817925
1.5x-prior,0.20949432404540763,0.40410193596361976,-0.3723798803920231,0.6712143380069217
3x-prior,0.19711042311661509,0.433057670392028,-0.36433785192909274,0.7052434859682736
5x-prior,0.2053663570691434,0.4136353714020945,-0.329849513257559,0.6794189911366005
7x-prior,0.18059855521155832,0.4732892668249995,-0.3619560305874174,0.6998222014321337
10x-prior,0.1826625386996904,0.46816133789331504,-0.3960499926143544,0.7087376460017968
0.1x-post,-0.0196078431372549,0.9384456264028496,-0.523425496656506,0.4430106916990441
0.2x-post,-0.05882352941176471,0.8166542035684891,-0.5939264288830716,0.5310970503242294
0.3x-post,-0.01547987616099071,0.9513880221541826,-0.5592433681936725,0.49948952879581165
0.4x-post,0.2549019607843137,0.30734528041254605,-0.314670932952183,0.6656455160002469
0.5x-post,0.0010319917440660476,0.9967573972800612,-0.5786190285026094,0.5084379543706286
1.5x-post,0.6470588235294118,0.0037015338197611426,0.1749479991290333,0.8972933396160969
3x-post,0.8245614035087718,2.5608231598810946e-05,0.5098558566452717,0.962383426810034
5x-post,0.47781217750258,0.04491215118822409,-0.09304229135690664,0.8091582806941909
7x-post,0.543859649122807,0.019643563727791618,0.029087864203954223,0.8595176638834391
10x-post,0.4840041279669762,0.04182551548646378,-0.029386360874320734,0.8617909256850551
