,r,p-value,lower,upper
0.1x,0.17234262125902994,0.49407642787678374,-0.4615066037159004,0.6535237520067605
0.2x,0.653250773993808,0.0032856411027831485,0.1629716084002689,0.945723077592206
0.3x,0.43859649122807015,0.06864406996213139,-0.05830450072317858,0.7938646699584199
0.4x,0.653250773993808,0.0032856411027831485,0.04692143763176825,0.977101036096998
0.5x,0.7007223942208461,0.0011989848082819942,0.2621848739495798,0.9063706360493384
1.5x,0.4055727554179567,0.0949534247922293,-0.16581506696002052,0.8637108504732884
3x,0.3023735810113519,0.22262935502892162,-0.1742041150800275,0.7297496443812234
5x,0.5376676986584108,0.021371414657806453,0.10571934991273997,0.8489296629407326
7x,0.5067079463364293,0.031873132260511465,0.05578713332855197,0.7857589285714284
10x,0.5025799793601652,0.03353054708616268,-0.05067736114428256,0.8312457662013363
