,r,p-value,lower,upper
0.1x,0.9091847265221877,1.7440728751462327e-07,0.7266013250528508,0.9788180102549493
0.2x,0.8224974200206397,2.7926170666106315e-05,0.5419425812347886,0.9333820459290189
0.3x,0.8555211558307534,6.005632918162668e-06,0.641515052356021,0.9540721785262571
0.4x,0.915376676986584,1.0113271116055492e-07,0.7272649035661228,0.9896440134761479
0.5x,0.8534571723426212,6.681541734969331e-06,0.5912207687755132,0.9624217118997911
1.01x,0.2053663570691434,0.4136353714020945,-0.3598252243741144,0.651598996910588
1.5x,0.9587203302373581,3.7237094512155455e-10,0.8315751136425872,0.9937172774869111
3x,0.8802889576883385,1.4473368008429358e-06,0.6411981882168926,0.9706521953431517
5x,0.8782249742002064,1.6482702612246244e-06,0.6112590474145863,0.9810929329759185
7x,0.8142414860681115,3.9076829456376884e-05,0.47108338427241025,0.9387606094444468
10x,0.7358101135190918,0.0005000834138759303,0.26190335364050393,0.923282552752363
