,r,p-value,lower,upper
0.1x,0.4984520123839009,0.03525363586497097,-0.06624563192803182,0.8125801701570681
0.2x,0.2982456140350877,0.229322411766133,-0.2740189205826234,0.771160112309908
0.3x,0.6470588235294118,0.0037015338197611426,0.22586291225294372,0.8666419889047625
0.4x,0.9174406604747163,8.355803529821193e-08,0.7507722104483224,0.9727770005137231
0.5x,0.8864809081527348,9.65676574451126e-07,0.6655910147690969,0.9542143600416233
1.5x,0.6264189886480908,0.005410032721793988,0.1547193587635206,0.8969720693545788
3x,0.500515995872033,0.0343837791763591,0.018595715408805044,0.841681782334385
5x,0.5046439628482973,0.03269373337773917,0.05758561765364227,0.8099794117972612
7x,0.2549019607843137,0.30734528041254605,-0.25815047021943577,0.7330796695947457
10x,0.6284829721362228,0.005214699418213291,0.25468844561322546,0.8426871081504704
