,r,p-value,lower,upper
0.1x-prior,0.1413828689370485,0.5757540929543488,-0.4848971675447151,0.6218852473351462
0.2x-prior,0.1413828689370485,0.5757540929543488,-0.42210006463954713,0.6379061466446393
0.3x-prior,0.1413828689370485,0.5757540929543488,-0.429986759200073,0.6586977355967991
0.4x-prior,0.1413828689370485,0.5757540929543488,-0.41540686761984424,0.6430248564718163
0.5x-prior,0.1413828689370485,0.5757540929543488,-0.47183292251727266,0.6181138236138157
1.5x-prior,0.1413828689370485,0.5757540929543488,-0.4559161283309522,0.6137107609026097
3x-prior,0.1413828689370485,0.5757540929543488,-0.4201715298505434,0.622926476326743
5x-prior,0.1413828689370485,0.5757540929543488,-0.4473440820171307,0.6502891604455181
7x-prior,0.1413828689370485,0.5757540929543488,-0.447564705149954,0.6636640782003004
10x-prior,0.1413828689370485,0.5757540929543488,-0.4044506312832143,0.643808082460733
0.1x-post,0.22187822497420018,0.3762254210655622,-0.3683546248302792,0.6712747672606955
0.2x-post,0.22187822497420018,0.3762254210655622,-0.3361769015206476,0.6828946777806205
0.3x-post,0.22187822497420018,0.3762254210655622,-0.3087849581204447,0.6646833421684696
0.4x-post,0.22187822497420018,0.3762254210655622,-0.39441925966822233,0.6914459762006991
0.5x-post,0.22187822497420018,0.3762254210655622,-0.27253427749252385,0.6810360321713457
1.5x-post,0.22187822497420018,0.3762254210655622,-0.38802002726500406,0.6560046815258949
3x-post,0.22187822497420018,0.3762254210655622,-0.3514096728307254,0.6618176654795528
5x-post,0.22187822497420018,0.3762254210655622,-0.36224380804953554,0.6973066924016229
7x-post,0.22187822497420018,0.3762254210655622,-0.324284427769057,0.6768541073302352
10x-post,0.22187822497420018,0.3762254210655622,-0.36850211842059005,0.6612010480049629
