,r,p-value,lower,upper
0.1x,-0.009287925696594427,0.9708223763257615,-0.6001664932362124,0.5265376522973039
0.2x,0.2652218782249742,0.2874842429174512,-0.3445538690856068,0.7104311191099477
0.3x,0.10216718266253869,0.6866550541678016,-0.4550583134843945,0.635496700851835
0.4x,0.16821465428276572,0.5046325110850312,-0.44232903335921026,0.6650107337419878
0.5x,-0.24664602683178533,0.32380881293776365,-0.703627709162065,0.2574852588145354
1.5x,0.44685242518059853,0.06301029106386723,-0.07936858004718644,0.7864840201794612
3x,0.6553147574819401,0.0031558468964774365,0.24369070068949258,0.9111228070175438
5x,0.25902992776057787,0.2993048420526305,-0.32158979616820715,0.7232776844808849
7x,0.6573787409700722,0.0030302895427941658,0.204199824917827,0.8907818798695335
10x,0.5335397316821465,0.022588029798321373,0.08539026126606163,0.8138209928852639
