,r,p-value,lower,upper
0.1x-prior,0.23219814241486067,0.3538383254251315,-0.3348770596409631,0.6516469159770396
0.2x-prior,0.21362229102167182,0.3946884572555506,-0.33908516387726645,0.6752000782064649
0.3x-prior,0.19504643962848298,0.43798642970216684,-0.3593039683331959,0.6677724622221057
0.4x-prior,0.1867905056759546,0.4579894347688285,-0.3778393896406622,0.6607587773329228
0.5x-prior,0.16202270381836945,0.5206651056985048,-0.439005291727169,0.6401726436387155
1.5x-prior,0.1867905056759546,0.4579894347688285,-0.4081516095534787,0.6801661474558671
3x-prior,0.15170278637770898,0.5479006675946312,-0.42681947966375816,0.6816197931282232
5x-prior,0.15170278637770898,0.5479006675946312,-0.42323159060138593,0.7229543971816283
7x-prior,0.15170278637770898,0.5479006675946312,-0.4184856908990373,0.7236268990683146
10x-prior,0.12487100103199174,0.6215259168914699,-0.4292560610010428,0.6564161974252376
0.1x-post,-0.31475748194014447,0.20331354771785815,-0.7474101112489383,0.20632315964776696
0.2x-post,-0.1393188854489164,0.5813962095847576,-0.57217878055673,0.3569571708328032
0.3x-post,0.4117647058823529,0.08953914742899156,-0.044030154228899006,0.764260394919972
0.4x-post,-0.16202270381836945,0.5206651056985048,-0.6010870135491402,0.3628452800678631
0.5x-post,0.1991744066047472,0.428158031919205,-0.35182798068071264,0.6395362206486902
1.5x-post,0.5190918472652218,0.027278528700016964,-0.050864765757677365,0.8404082395670129
3x-post,0.48606811145510836,0.040833484782080216,-0.07308040648409675,0.8336884602444768
5x-post,0.4716202270381837,0.04816897678955323,-0.15063403706912695,0.8056628577206999
7x-post,0.5603715170278638,0.015569122116593604,0.053042021665748944,0.8316397993405291
10x-post,0.5211558307533539,0.026565697103864788,0.01828772546499242,0.8481034153995347
