,r,p-value,lower,upper
0.1x-prior,0.2672858617131063,0.28360817850986736,-0.2957341574989693,0.6898162095026689
0.2x-prior,0.29411764705882354,0.23614329729664102,-0.2863144420903954,0.7122149098357609
0.3x-prior,0.281733746130031,0.2573753757323144,-0.2762945428100743,0.7224639326206389
0.4x-prior,0.2672858617131063,0.28360817850986736,-0.2564375111746826,0.7494911273486429
0.5x-prior,0.23219814241486067,0.3538383254251315,-0.32151994654134747,0.6665572917587174
1.5x-prior,0.1867905056759546,0.4579894347688285,-0.38984897466039714,0.6499360775172174
3x-prior,0.2528379772961816,0.31141340050989863,-0.33223249345549744,0.7404984423676012
5x-prior,0.28792569659442724,0.2466148887955486,-0.2394979866946779,0.7667369263607258
7x-prior,0.22187822497420018,0.3762254210655622,-0.3118392608089261,0.7234369800102056
10x-prior,0.2714138286893705,0.27595238461589006,-0.3216411578626168,0.7622611635895233
0.1x-post,-0.17027863777089783,0.49934109695673956,-0.6323774509803921,0.3660638650570559
0.2x-post,0.054695562435500514,0.8293348337875046,-0.43968750000000006,0.5158579200387821
0.3x-post,-0.0629514963880289,0.8040167566657793,-0.5675669797035228,0.48634143904063953
0.4x-post,0.11248710010319916,0.6567565630509027,-0.29723936056052846,0.4871332662959895
0.5x-post,0.18885448916408668,0.4529458223784959,-0.2922294755598574,0.6301366718694665
1.5x-post,0.5067079463364293,0.031873132260511465,-0.05605899474470226,0.8208482142857144
3x-post,0.38906088751289986,0.11054194705770316,-0.1311894745002637,0.7671059003955122
5x-post,0.7234262125902993,0.0006909021305997825,0.368421052631579,0.8871561520376176
7x-post,0.4282765737874097,0.07620095935240204,-0.038952879581151824,0.7581856100104274
10x-post,0.5686274509803922,0.013800437611725471,0.055679849987833,0.8743250177626901
