,r,p-value,lower,upper
0.1x-prior,0.17027863777089783,0.49934109695673956,-0.4583572546972861,0.6727068162878869
0.2x-prior,0.16408668730650156,0.5152947310342115,-0.45115688167158763,0.6749910875238785
0.3x-prior,0.09391124871001032,0.7108992592881785,-0.4911981562319945,0.651436232265016
0.4x-prior,0.1455108359133127,0.5645405304670836,-0.49442489974877335,0.6179688651497786
0.5x-prior,0.1413828689370485,0.5757540929543488,-0.4610748902911339,0.6502982491578816
1.5x-prior,0.13725490196078433,0.5870615369663568,-0.3877879753596353,0.653918815698145
3x-prior,0.2053663570691434,0.4136353714020945,-0.32637226793100815,0.6778023808845727
5x-prior,0.3333333333333333,0.17646319681352732,-0.221381752074525,0.701928401461339
7x-prior,0.2528379772961816,0.31141340050989863,-0.33483351684650964,0.7038735936128402
10x-prior,0.3457172342621259,0.15995306278645896,-0.17087284482758622,0.7499999999999999
0.1x-post,0.2115583075335397,0.3993801361693994,-0.3556425008781951,0.6928139694357367
0.2x-post,0.7192982456140351,0.0007666636665897179,0.2458912112307187,0.97296481918239
0.3x-post,0.42414860681114547,0.0793889023946049,-0.09895750443777926,0.7671059003955122
0.4x-post,0.7048503611971104,0.0010886663167765575,0.21609052025229775,0.9562421876205612
0.5x-post,0.7543859649122806,0.00029766146155801984,0.35476011481683983,0.9458799686192471
1.5x-post,0.4716202270381837,0.04816897678955323,-0.08635787873669987,0.8802708505113946
3x-post,0.5108359133126935,0.03027974699120303,-0.03927865233303549,0.8994708260662755
5x-post,0.12280701754385966,0.6273461454239682,-0.39242757269212447,0.6168038285340315
7x-post,0.5603715170278638,0.015569122116593604,0.08897432441985824,0.8326620795240043
10x-post,0.4406604747162023,0.06720191241367013,-0.1596665830704452,0.8510608428789069
