,r,p-value,lower,upper
0.1x-prior,0.31475748194014447,0.20331354771785815,-0.2612574393011438,0.7001160337552743
0.2x-prior,0.25902992776057787,0.2993048420526305,-0.2900396607241027,0.6830196213320543
0.3x-prior,0.24871001031991744,0.31964521777772886,-0.316147527195245,0.6924766529819913
0.4x-prior,0.25902992776057787,0.2993048420526305,-0.2731436979708637,0.7027530859479496
0.5x-prior,0.24664602683178533,0.32380881293776365,-0.3673640854343428,0.6682842114948166
1.5x-prior,0.2714138286893705,0.27595238461589006,-0.291712376786608,0.6894582882266971
3x-prior,0.23839009287925697,0.340779724454077,-0.30735369010035446,0.7038640394692354
5x-prior,0.23632610939112486,0.34510124880977866,-0.31246172516186205,0.7277841404886564
7x-prior,0.23632610939112486,0.34510124880977866,-0.29530053235277975,0.7378414823693672
10x-prior,0.23219814241486067,0.3538383254251315,-0.32303103457436216,0.7090052356020942
0.1x-post,0.17234262125902994,0.49407642787678374,-0.2675939907352904,0.5875385273972604
0.2x-post,0.6615067079463364,0.002791461831762223,0.21203738849876638,0.9143244856618139
0.3x-post,0.717234262125903,0.000807070648534508,0.2924296572509679,0.892991844583019
0.4x-post,0.7440660474716203,0.000399210544126666,0.40476043732828704,0.9185079932421216
0.5x-post,0.8410732714138286,1.2271367358194706e-05,0.4794496338340414,0.9624246446486022
1.5x-post,0.6181630546955624,0.0062517627309340695,0.22734949119159645,0.8921625503575712
3x-post,0.3003095975232198,0.22595992422709757,-0.22521168975099498,0.7201006089054472
5x-post,0.4613003095975232,0.053990476377347364,-0.039795280835769685,0.7394403929647763
7x-post,0.42414860681114547,0.0793889023946049,-0.06145304275305352,0.8159496556166691
10x-post,0.5067079463364293,0.031873132260511465,0.04009292544805281,0.7906766102282828
