vADH,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.01x,1.5x,3x,5x,7x,10x
1.0,vPGI,vPDC,vPFK,vPFK,vGLT,vGLT,vSUC,vGLT,vGLT,vGLT,vPGI,vGAPDH
2.0,vSUC,vGAPDH,vGLK,vGLT,vPGI,vPGI,vPDC,vTreha,vTreha,vPGI,vGLT,vPGI
3.0,vGLT,vSUC,vGAPDH,vPGI,vTreha,vTreha,vPGM,vPGI,vENO,vTreha,vALD,vGLT
4.0,vPGM,vPFK,vALD,vGLK,vPFK,vGAPDH,vENO,vSUC,vPGI,vPDC,vTreha,vPGM
5.0,vTreha,vALD,vTreha,vALD,vSUC,vSUC,vPYK,vGLK,vALD,vALD,vPFK,vALD
6.0,vPDC,vGLK,vPGI,vTreha,vGAPDH,vGLK,vPGK,vPFK,vGLK,vGAPDH,vSUC,vPGK
7.0,vPFK,vTreha,vSUC,vPDC,vALD,vPGK,vGAPDH,vGAPDH,vGLYCO,vPFK,vGLK,vTreha
8.0,vGLK,vPYK,vPGM,vENO,vGLK,vPYK,vPGI,vPYK,vGAPDH,vGLK,vG3PDH,vENO
9.0,vENO,vPGI,vGLT,vSUC,vPYK,vG3PDH,vPFK,vG3PDH,vPDC,vGLYCO,vPDC,vSUC
10.0,vPYK,vPGK,vPDC,vPGK,vPDC,vPDC,vALD,vENO,vPGM,vG3PDH,vPGM,vPDC
11.0,vGAPDH,vGLT,vGLYCO,vPGM,vG3PDH,vGLYCO,vTreha,vGLYCO,vSUC,vPGK,vGLYCO,vPFK
12.0,vG3PDH,vPGM,vG3PDH,vGAPDH,vPGK,vALD,vGLK,vALD,vPYK,vPYK,vGAPDH,vPYK
13.0,vPGK,vENO,vENO,vGLYCO,vGLYCO,vPFK,vGLT,vPGK,vPFK,vSUC,vPGK,vGLK
14.0,vALD,vGLYCO,vPYK,vPYK,vPGM,vENO,vG3PDH,vPGM,vPGK,vENO,vENO,vG3PDH
15.0,vGLYCO,vG3PDH,vPGK,vG3PDH,vENO,vPGM,vGLYCO,vPDC,vG3PDH,vPGM,vPYK,vGLYCO
,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH
