vADH,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.01x,1.5x,3x,5x,7x,10x
1.0,vSUC,vGLT,vPFK,vPFK,vPFK,vPFK,vSUC,vPFK,vSUC,vSUC,vSUC,vSUC
2.0,vPFK,vPFK,vGLT,vGLT,vGLT,vSUC,vPGK,vSUC,vPFK,vGLT,vGLT,vGLT
3.0,vPDC,vTreha,vTreha,vSUC,vSUC,vGLT,vGAPDH,vGLT,vGLT,vPFK,vPGI,vPGI
4.0,vGLT,vSUC,vSUC,vTreha,vTreha,vTreha,vPGM,vPGI,vPGI,vPGI,vTreha,vTreha
5.0,vPGI,vG3PDH,vG3PDH,vG3PDH,vG3PDH,vPGI,vENO,vGAPDH,vTreha,vTreha,vPFK,vPFK
6.0,vTreha,vGAPDH,vGAPDH,vPGI,vPGI,vGAPDH,vPYK,vTreha,vGAPDH,vGAPDH,vGAPDH,vALD
7.0,vGAPDH,vGLYCO,vPGI,vGAPDH,vGAPDH,vG3PDH,vPDC,vALD,vALD,vALD,vALD,vGAPDH
8.0,vGLK,vPGI,vPGK,vPGK,vPGK,vPGK,vPFK,vG3PDH,vPGK,vPGK,vGLK,vPDC
9.0,vG3PDH,vGLK,vPGM,vALD,vGLK,vPGM,vALD,vPGK,vG3PDH,vGLK,vPGK,vGLK
10.0,vPGK,vPGK,vGLYCO,vPYK,vPGM,vGLK,vPGI,vGLK,vGLK,vG3PDH,vG3PDH,vPGK
11.0,vALD,vPGM,vALD,vGLYCO,vALD,vPYK,vTreha,vPGM,vPGM,vPDC,vPDC,vG3PDH
12.0,vPGM,vENO,vGLK,vGLK,vGLYCO,vENO,vGLT,vPYK,vPYK,vPYK,vPGM,vPGM
13.0,vENO,vPYK,vPYK,vPGM,vPYK,vGLYCO,vGLK,vPDC,vENO,vPGM,vPYK,vGLYCO
14.0,vPYK,vALD,vENO,vENO,vPDC,vPDC,vG3PDH,vENO,vGLYCO,vENO,vENO,vENO
15.0,vGLYCO,vPDC,vPDC,vPDC,vENO,vALD,vGLYCO,vGLYCO,vPDC,vGLYCO,vGLYCO,vPYK
,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH
