vADH,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.01x,1.5x,3x,5x,7x,10x
1.0,vPGI,vGLT,vGLT,vENO,vGLT,vGLT,vGLT,vALD,vGLT,vALD,vGLT,vGLT
2.0,vSUC,vTreha,vTreha,vGLT,vTreha,vALD,vTreha,vENO,vTreha,vGLT,vENO,vALD
3.0,vGLT,vGLK,vGLK,vALD,vALD,vTreha,vGLK,vPDC,vALD,vPFK,vPDC,vTreha
4.0,vPGM,vALD,vALD,vTreha,vGLK,vGLK,vALD,vPFK,vENO,vENO,vTreha,vPFK
5.0,vTreha,vPFK,vSUC,vPFK,vPFK,vENO,vPFK,vGLT,vGLK,vPGI,vALD,vGLK
6.0,vPDC,vENO,vGLYCO,vGLK,vENO,vPFK,vPGI,vPYK,vPFK,vPDC,vPFK,vPGI
7.0,vPFK,vPGI,vPFK,vPDC,vPGI,vPDC,vSUC,vPGI,vPGI,vGLK,vGLK,vENO
8.0,vGLK,vPDC,vPGI,vSUC,vPDC,vPGI,vGLYCO,vGLK,vPDC,vPYK,vPYK,vPDC
9.0,vENO,vGLYCO,vG3PDH,vPYK,vSUC,vPYK,vENO,vGAPDH,vPYK,vGAPDH,vPGI,vGAPDH
10.0,vPYK,vSUC,vPDC,vPGI,vGLYCO,vGAPDH,vPDC,vTreha,vPGM,vTreha,vPGM,vGLYCO
11.0,vGAPDH,vPYK,vENO,vPGM,vGAPDH,vPGM,vG3PDH,vPGM,vPGK,vPGK,vGAPDH,vPYK
12.0,vG3PDH,vG3PDH,vPYK,vGAPDH,vPYK,vPGK,vGAPDH,vPGK,vGLYCO,vPGM,vPGK,vPGK
13.0,vPGK,vGAPDH,vPGM,vPGK,vG3PDH,vSUC,vPYK,vG3PDH,vGAPDH,vSUC,vGLYCO,vPGM
14.0,vALD,vPGK,vPGK,vG3PDH,vPGK,vGLYCO,vPGK,vGLYCO,vSUC,vG3PDH,vG3PDH,vSUC
15.0,vGLYCO,vPGM,vGAPDH,vGLYCO,vPGM,vG3PDH,vPGM,vSUC,vG3PDH,vGLYCO,vSUC,vG3PDH
,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH
