vADH,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.01x,1.5x,3x,5x,7x,10x
1.0,vSUC,vPDC,vPDC,vALD,vPYK,vSUC,vSUC,vSUC,vSUC,vPDC,vSUC,vSUC
2.0,vGAPDH,vPYK,vPYK,vPDC,vENO,vPGI,vPGK,vPGI,vGAPDH,vSUC,vPGM,vPGI
3.0,vPGI,vGLT,vENO,vPGK,vPGM,vGAPDH,vGAPDH,vGAPDH,vPGI,vPGI,vENO,vGLT
4.0,vGLT,vGLK,vPGK,vGAPDH,vGLK,vPGM,vPGI,vPGM,vPGK,vGLT,vPYK,vTreha
5.0,vPGK,vPFK,vGAPDH,vGLK,vPDC,vGLK,vPFK,vPGK,vALD,vTreha,vPDC,vGAPDH
6.0,vPFK,vPGI,vPGI,vG3PDH,vGAPDH,vTreha,vALD,vGLT,vPFK,vGLK,vALD,vGLK
7.0,vTreha,vALD,vSUC,vPGM,vPGI,vGLT,vG3PDH,vALD,vG3PDH,vGAPDH,vGAPDH,vALD
8.0,vALD,vPGM,vPFK,vTreha,vTreha,vPYK,vENO,vPFK,vGLT,vG3PDH,vGLT,vPDC
9.0,vPGM,vPGK,vG3PDH,vSUC,vPGK,vPGK,vPYK,vTreha,vTreha,vPFK,vTreha,vG3PDH
10.0,vG3PDH,vENO,vGLK,vPFK,vSUC,vENO,vPGM,vENO,vPGM,vPGK,vPGI,vPFK
11.0,vGLK,vG3PDH,vPGM,vENO,vGLT,vPDC,vGLK,vG3PDH,vGLK,vALD,vGLK,vPGK
12.0,vPYK,vGAPDH,vGLT,vGLT,vPFK,vG3PDH,vPDC,vPYK,vENO,vPGM,vG3PDH,vENO
13.0,vENO,vSUC,vTreha,vGLYCO,vG3PDH,vALD,vGLT,vGLK,vPYK,vENO,vPGK,vPGM
14.0,vPDC,vTreha,vALD,vPGI,vALD,vPFK,vTreha,vPDC,vPDC,vGLYCO,vPFK,vPYK
15.0,vGLYCO,vGLYCO,vGLYCO,vPYK,vGLYCO,vGLYCO,vGLYCO,vGLYCO,vGLYCO,vPYK,vGLYCO,vGLYCO
,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH
