vADH,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.01x,1.5x,3x,5x,7x,10x
1.0,vSUC,vGAPDH,vPYK,vPDC,vPDC,vPDC,vGAPDH,vSUC,vSUC,vSUC,vPGI,vPGI
2.0,vPFK,vENO,vENO,vPYK,vPYK,vSUC,vPYK,vPGI,vPGI,vPGK,vSUC,vTreha
3.0,vPDC,vPYK,vGAPDH,vPGM,vSUC,vPGI,vGLT,vPFK,vPFK,vGAPDH,vTreha,vSUC
4.0,vGLT,vPGM,vPFK,vPFK,vPFK,vTreha,vTreha,vPDC,vGLT,vPGM,vGLT,vGLT
5.0,vPGI,vPFK,vGLK,vENO,vALD,vGLT,vPDC,vGLT,vTreha,vPGI,vGLK,vGLK
6.0,vTreha,vGLK,vPGK,vGAPDH,vENO,vGLK,vPGI,vTreha,vGAPDH,vGLT,vPGM,vGAPDH
7.0,vGAPDH,vPDC,vPGM,vPGK,vPGK,vPGM,vALD,vALD,vALD,vTreha,vPGK,vALD
8.0,vGLK,vALD,vPDC,vGLT,vGLT,vPYK,vPGM,vPYK,vGLK,vALD,vPFK,vG3PDH
9.0,vG3PDH,vTreha,vTreha,vGLK,vTreha,vPFK,vGLK,vGLK,vG3PDH,vPFK,vGAPDH,vPDC
10.0,vPGK,vPGK,vPGI,vSUC,vPGM,vGAPDH,vPGK,vG3PDH,vPGK,vGLK,vG3PDH,vPFK
11.0,vALD,vSUC,vGLT,vALD,vGLK,vG3PDH,vPFK,vGAPDH,vPDC,vG3PDH,vPDC,vPGK
12.0,vPGM,vG3PDH,vALD,vG3PDH,vG3PDH,vGLYCO,vSUC,vENO,vENO,vENO,vALD,vGLYCO
13.0,vENO,vPGI,vG3PDH,vPGI,vGAPDH,vPGK,vG3PDH,vPGK,vPYK,vPDC,vENO,vPGM
14.0,vPYK,vGLYCO,vSUC,vTreha,vPGI,vALD,vGLYCO,vPGM,vPGM,vGLYCO,vGLYCO,vPYK
15.0,vGLYCO,vGLT,vGLYCO,vGLYCO,vGLYCO,vENO,vENO,vGLYCO,vGLYCO,vPYK,vPYK,vENO
,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH
