vADH,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.01x,1.5x,3x,5x,7x,10x
1,vSUC,vGLT,vGLT,vSUC,vSUC,vSUC,vSUC,vSUC,vSUC,vSUC,vSUC,vSUC
2,vGAPDH,vTreha,vSUC,vGLT,vGLT,vGLT,vPDC,vGAPDH,vGAPDH,vGAPDH,vGLT,vPGI
3,vPGI,vSUC,vTreha,vTreha,vTreha,vPGI,vPYK,vPGI,vPGI,vPGI,vPGI,vGLT
4,vGLT,vPFK,vGLK,vPGI,vPGI,vGAPDH,vENO,vPGK,vGLT,vGLT,vGAPDH,vGAPDH
5,vPGK,vGLK,vPFK,vGLK,vGAPDH,vTreha,vPGK,vGLT,vPGK,vPGK,vALD,vALD
6,vPFK,vG3PDH,vPGI,vPFK,vPFK,vPFK,vPGM,vALD,vALD,vALD,vTreha,vPGK
7,vTreha,vPGI,vG3PDH,vGAPDH,vGLK,vGLK,vGAPDH,vPFK,vTreha,vTreha,vPGK,vTreha
8,vALD,vGAPDH,vGAPDH,vG3PDH,vPGK,vPGK,vPFK,vTreha,vPGM,vG3PDH,vG3PDH,vG3PDH
9,vPGM,vALD,vALD,vPGK,vG3PDH,vG3PDH,vPGI,vPGM,vG3PDH,vPGM,vPGM,vPGM
10,vG3PDH,vPYK,vPYK,vALD,vALD,vALD,vALD,vG3PDH,vPFK,vPFK,vGLK,vGLK
11,vGLK,vPDC,vPDC,vPYK,vPGM,vPGM,vG3PDH,vGLK,vGLK,vGLK,vPFK,vPFK
12,vPYK,vPGK,vPGK,vPGM,vPYK,vPYK,vGLK,vENO,vENO,vENO,vENO,vENO
13,vENO,vENO,vPGM,vPDC,vPDC,vENO,vTreha,vPYK,vPYK,vPYK,vPYK,vPYK
14,vPDC,vPGM,vENO,vENO,vENO,vPDC,vGLT,vPDC,vPDC,vPDC,vGLYCO,vPDC
15,vGLYCO,vGLYCO,vGLYCO,vGLYCO,vGLYCO,vGLYCO,vGLYCO,vGLYCO,vGLYCO,vGLYCO,vPDC,vGLYCO
,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH
