vADH,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.01x,1.5x,3x,5x,7x,10x
1.0,vSUC,vPGI,vPGI,vPGI,vPGI,vPGI,vSUC,vPGI,vPGI,vPGI,vPGI,vPGI
2.0,vGAPDH,vPFK,vTreha,vSUC,vSUC,vSUC,vENO,vSUC,vSUC,vSUC,vSUC,vSUC
3.0,vPGI,vTreha,vSUC,vTreha,vPFK,vPFK,vPYK,vPFK,vGLT,vGLT,vGLT,vGLT
4.0,vGLT,vGLT,vGLT,vGLT,vTreha,vTreha,vPGM,vTreha,vTreha,vTreha,vTreha,vTreha
5.0,vPGK,vGLK,vGLK,vPFK,vGLT,vGLT,vPGK,vGLT,vPFK,vPFK,vPFK,vPFK
6.0,vPFK,vSUC,vPFK,vGLK,vGLK,vGLK,vPDC,vGAPDH,vGAPDH,vGAPDH,vGLK,vGLK
7.0,vTreha,vGAPDH,vG3PDH,vG3PDH,vG3PDH,vG3PDH,vGAPDH,vGLK,vGLK,vGLK,vGAPDH,vPDC
8.0,vALD,vG3PDH,vGAPDH,vGAPDH,vGAPDH,vGAPDH,vPFK,vG3PDH,vG3PDH,vG3PDH,vG3PDH,vGAPDH
9.0,vPGM,vPGK,vGLYCO,vPGK,vPGK,vPGK,vALD,vALD,vALD,vALD,vPGM,vPGM
10.0,vG3PDH,vPGM,vPGK,vPGM,vPGM,vPGM,vPGI,vPGK,vPGK,vPGK,vPGK,vG3PDH
11.0,vGLK,vPDC,vALD,vGLYCO,vGLYCO,vGLYCO,vTreha,vPGM,vPGM,vPGM,vPYK,vPYK
12.0,vPYK,vALD,vPDC,vPDC,vPYK,vENO,vGLK,vGLYCO,vPDC,vPDC,vPDC,vENO
13.0,vENO,vGLYCO,vPGM,vALD,vPDC,vPDC,vG3PDH,vENO,vENO,vPYK,vENO,vPGK
14.0,vPDC,vENO,vPYK,vENO,vENO,vPYK,vGLT,vPDC,vPYK,vENO,vALD,vALD
15.0,vGLYCO,vPYK,vENO,vPYK,vALD,vALD,vGLYCO,vPYK,vGLYCO,vGLYCO,vGLYCO,vGLYCO
,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH,vADH
