vYAN,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.01x,1.5x,3x,5x,7x,10x
1.0,vWHI,vTAN,vVIC,vXRA,vXRA,vXRA,vWHI,vXRA,vXRA,vPAP,vPAP,vPAP
2.0,vOSC,vKIL,vOSC,vQUE,vQUE,vQUE,vQUE,vNOV,vNOV,vOSC,vXRA,vOSC
3.0,vVIC,vVIC,vQUE,vLIM,vLIM,vOSC,vROM,vLIM,vVIC,vXRA,vOSC,vTAN
4.0,vXRA,vNOV,vPAP,vKIL,vOSC,vLIM,vSIE,vQUE,vKIL,vLIM,vNOV,vQUE
5.0,vLIM,vSIE,vROM,vOSC,vNOV,vNOV,vTAN,vOSC,vLIM,vNOV,vLIM,vSIE
6.0,vNOV,vWHI,vLIM,vWHI,vWHI,vWHI,vUNI,vWHI,vQUE,vQUE,vQUE,vUNI
7.0,vQUE,vQUE,vUNI,vUNI,vPAP,vZUL,vPAP,vVIC,vWHI,vKIL,vTAN,vVIC
8.0,vKIL,vXRA,vKIL,vPAP,vKIL,vROM,vVIC,vKIL,vPAP,vUNI,vUNI,vLIM
9.0,vZUL,vROM,vXRA,vNOV,vUNI,vUNI,vOSC,vZUL,vOSC,vSIE,vVIC,vXRA
10.0,vROM,vOSC,vTAN,vVIC,vZUL,vSIE,vLIM,vROM,vSIE,vROM,vSIE,vROM
11.0,vPAP,vZUL,vZUL,vZUL,vROM,vPAP,vZUL,vTAN,vROM,vVIC,vWHI,vWHI
12.0,vSIE,vMIK,vWHI,vROM,vSIE,vTAN,vKIL,vUNI,vMIK,vWHI,vKIL,vNOV
13.0,vTAN,vUNI,vSIE,vSIE,vVIC,vMIK,vNOV,vMIK,vTAN,vMIK,vZUL,vZUL
14.0,vUNI,vPAP,vNOV,vMIK,vMIK,vKIL,vXRA,vPAP,vZUL,vTAN,vMIK,vKIL
15.0,vMIK,vLIM,vMIK,vTAN,vTAN,vVIC,vMIK,vSIE,vUNI,vZUL,vROM,vMIK
,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN
