vYAN,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.01x,1.5x,3x,5x,7x,10x
1.0,vLIM,vLIM,vLIM,vLIM,vLIM,vLIM,vWHI,vLIM,vLIM,vLIM,vLIM,vLIM
2.0,vWHI,vOSC,vWHI,vWHI,vWHI,vWHI,vVIC,vOSC,vWHI,vWHI,vWHI,vWHI
3.0,vXRA,vNOV,vNOV,vXRA,vOSC,vOSC,vUNI,vWHI,vXRA,vXRA,vXRA,vXRA
4.0,vSIE,vXRA,vXRA,vNOV,vNOV,vNOV,vTAN,vXRA,vOSC,vNOV,vNOV,vNOV
5.0,vNOV,vKIL,vKIL,vOSC,vXRA,vXRA,vSIE,vNOV,vNOV,vOSC,vOSC,vOSC
6.0,vVIC,vQUE,vQUE,vKIL,vKIL,vKIL,vROM,vQUE,vQUE,vQUE,vQUE,vQUE
7.0,vOSC,vROM,vZUL,vZUL,vQUE,vZUL,vQUE,vKIL,vKIL,vKIL,vKIL,vSIE
8.0,vKIL,vSIE,vROM,vQUE,vZUL,vQUE,vPAP,vPAP,vZUL,vZUL,vSIE,vKIL
9.0,vTAN,vUNI,vSIE,vROM,vROM,vROM,vLIM,vZUL,vPAP,vPAP,vZUL,vZUL
10.0,vUNI,vVIC,vOSC,vSIE,vSIE,vSIE,vOSC,vROM,vROM,vROM,vPAP,vTAN
11.0,vQUE,vWHI,vUNI,vUNI,vMIK,vTAN,vNOV,vSIE,vSIE,vSIE,vROM,vUNI
12.0,vZUL,vMIK,vMIK,vTAN,vTAN,vMIK,vXRA,vMIK,vUNI,vVIC,vTAN,vVIC
13.0,vROM,vZUL,vVIC,vVIC,vVIC,vUNI,vKIL,vUNI,vTAN,vUNI,vUNI,vROM
14.0,vPAP,vTAN,vTAN,vMIK,vPAP,vVIC,vZUL,vVIC,vMIK,vTAN,vVIC,vPAP
15.0,vMIK,vPAP,vPAP,vPAP,vUNI,vPAP,vMIK,vTAN,vVIC,vMIK,vMIK,vMIK
,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN
