vYAN,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.01x,1.5x,3x,5x,7x,10x
1.0,vLIM,vVIC,vVIC,vVIC,vLIM,vLIM,vWHI,vLIM,vVIC,vUNI,vWHI,vLIM
2.0,vWHI,vSIE,vUNI,vROM,vNOV,vWHI,vROM,vWHI,vUNI,vVIC,vLIM,vUNI
3.0,vXRA,vKIL,vSIE,vLIM,vXRA,vNOV,vQUE,vXRA,vLIM,vLIM,vTAN,vVIC
4.0,vSIE,vUNI,vROM,vSIE,vWHI,vSIE,vLIM,vNOV,vTAN,vPAP,vUNI,vNOV
5.0,vNOV,vROM,vTAN,vUNI,vKIL,vXRA,vPAP,vOSC,vOSC,vOSC,vNOV,vKIL
6.0,vVIC,vXRA,vOSC,vNOV,vQUE,vKIL,vOSC,vSIE,vQUE,vWHI,vXRA,vXRA
7.0,vOSC,vTAN,vQUE,vQUE,vVIC,vTAN,vTAN,vPAP,vNOV,vQUE,vPAP,vPAP
8.0,vKIL,vNOV,vWHI,vXRA,vZUL,vOSC,vZUL,vKIL,vWHI,vZUL,vKIL,vZUL
9.0,vTAN,vQUE,vLIM,vTAN,vTAN,vUNI,vSIE,vTAN,vKIL,vKIL,vOSC,vTAN
10.0,vUNI,vPAP,vKIL,vKIL,vUNI,vZUL,vNOV,vQUE,vPAP,vNOV,vZUL,vROM
11.0,vQUE,vLIM,vXRA,vZUL,vPAP,vPAP,vUNI,vZUL,vXRA,vROM,vQUE,vQUE
12.0,vZUL,vWHI,vNOV,vPAP,vMIK,vQUE,vKIL,vUNI,vROM,vXRA,vSIE,vSIE
13.0,vROM,vZUL,vPAP,vMIK,vOSC,vVIC,vXRA,vVIC,vZUL,vSIE,vROM,vMIK
14.0,vPAP,vOSC,vZUL,vWHI,vROM,vMIK,vVIC,vROM,vSIE,vTAN,vMIK,vWHI
15.0,vMIK,vMIK,vMIK,vOSC,vSIE,vROM,vMIK,vMIK,vMIK,vMIK,vVIC,vOSC
,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN,vYAN
