,r,p-value,lower,upper
0.1x,0.06071428571428571,0.8298120954425188,-0.4484969242154283,0.5401697408850019
0.2x,-0.014285714285714282,0.9596997645989476,-0.5064123624177195,0.48486074572646753
0.3x,0.035714285714285705,0.8994469934720875,-0.46828918463285985,0.5221824162699287
0.4x,0.38214285714285706,0.1598236299869673,-0.14011182946539877,0.7380454596367536
0.5x,-0.175,0.5327481481378592,-0.6171732392030356,0.35117741780123707
1.01x,0.5392857142857141,0.03802165626355798,0.05947138769223469,0.8166759022400645
1.5x,0.1464285714285714,0.602549920983054,-0.3766219736246489,0.5986849729224746
3x,0.13928571428571426,0.6205460876279014,-0.38286214229993787,0.593986362189956
5x,0.1357142857142857,0.6296204418728145,-0.3859644599577358,0.5916253656956332
7x,0.049999999999999996,0.859540943467457,-0.4570409172768013,0.5325141582399084
10x,0.010714285714285713,0.9697698761545686,-0.48758826174556125,0.5037516196174622
