,r,p-value,lower,upper
0.1x-prior,0.32301341589267285,0.19106788357348967,-0.25195419520547946,0.72274622693818
0.2x-prior,0.34365325077399383,0.16262865351676548,-0.21586112100836488,0.7542273917935374
0.3x-prior,0.2961816305469556,0.23271685741068457,-0.23700837296727711,0.7224119034843226
0.4x-prior,0.2776057791537668,0.26470972815378374,-0.26478211161187704,0.7479386326555673
0.5x-prior,0.2714138286893705,0.27595238461589006,-0.3299619640387276,0.696719046241846
1.5x-prior,0.25902992776057787,0.2993048420526305,-0.3334029227557412,0.7032761082571517
3x-prior,0.281733746130031,0.2573753757323144,-0.2670640939907467,0.7275015194757147
5x-prior,0.25902992776057787,0.2993048420526305,-0.3000026511134677,0.792718548369577
7x-prior,0.2507739938080495,0.31551339595948574,-0.3100814203324664,0.7730399766965352
10x-prior,0.24458204334365324,0.3280041243603068,-0.2975632775632776,0.729176493710692
0.1x-post,0.5830753353973168,0.011092443619541667,0.17767106483396397,0.8210510219770181
0.2x-post,0.6780185758513931,0.0019851971899574545,0.2825192952683325,0.9013692775088863
0.3x-post,0.6656346749226005,0.0025683279602937087,0.2295967168686868,0.9115905208046293
0.4x-post,0.3931888544891641,0.106484795695208,-0.09119921000946457,0.7262586831227039
0.5x-post,0.281733746130031,0.2573753757323144,-0.2552629849503823,0.7259579764088891
1.5x-post,0.9009287925696594,3.4061802943964603e-07,0.6565718181491981,0.9873956186248084
3x-post,0.5768833849329206,0.012195441748364483,0.1238850879802302,0.8160967532934994
5x-post,0.6408668730650156,0.0041595509943915246,0.17336571852715854,0.8935337291231733
7x-post,0.6078431372549019,0.007450054518883103,0.027777309432957704,0.8701706074717884
10x-post,0.653250773993808,0.0032856411027831485,0.12932541753653445,0.8989658472199307
