v19,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.01x,1.5x,3x,5x,7x,10x
1.0,v2,v8,v8,v2,v2,v2,v21,v2,v2,v2,v7,v7
2.0,v15,v14,v5,v4,v4,v4,v17,v13,v13,v13,v2,v5
3.0,v7,v21,v4,v5,v13,v13,v15,v7,v5,v4,v16,v4
4.0,v4,v15,v6,v13,v5,v7,v18,v3,v4,v3,v9,v9
5.0,v21,v7,v21,v3,v7,v8,v8,v4,v3,v12,v5,v16
6.0,v5,v6,v14,v6,v9,v21,v16,v5,v7,v9,v4,v2
7.0,v12,v4,v7,v9,v8,v5,v14,v12,v12,v5,v15,v13
8.0,v13,v5,v15,v7,v15,v15,v4,v11,v15,v16,v21,v21
9.0,v9,v18,v13,v15,v21,v14,v5,v9,v11,v15,v3,v15
10.0,v8,v2,v3,v21,v14,v9,v6,v10,v6,v21,v6,v12
11.0,v14,v3,v2,v12,v12,v3,v2,v21,v9,v6,v13,v6
12.0,v11,v10,v12,v10,v3,v6,v7,v15,v10,v17,v12,v3
13.0,v10,v13,v10,v11,v10,v12,v9,v18,v21,v18,v11,v17
14.0,v16,v17,v18,v8,v18,v10,v10,v6,v18,v8,v14,v11
15.0,v17,v9,v9,v14,v17,v18,v11,v14,v16,v7,v17,v10
16.0,v6,v11,v11,v18,v11,v11,v3,v8,v8,v10,v10,v14
17.0,v18,v16,v17,v16,v6,v17,v12,v17,v17,v11,v8,v18
18.0,v3,v12,v16,v17,v16,v16,v13,v16,v14,v14,v18,v8
,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19
