v19,gt,0.1x,0.2x,0.3x,0.4x,0.5x,1.01x,1.5x,3x,5x,7x,10x
1.0,v2,v18,v7,v10,v21,v2,v15,v4,v15,v17,v13,v2
2.0,v7,v7,v5,v9,v17,v5,v8,v2,v17,v16,v2,v5
3.0,v15,v8,v8,v12,v15,v4,v18,v5,v16,v8,v3,v17
4.0,v21,v6,v18,v5,v18,v8,v5,v7,v21,v5,v4,v15
5.0,v5,v14,v16,v21,v16,v3,v21,v21,v7,v4,v15,v4
6.0,v4,v16,v6,v6,v2,v6,v4,v17,v6,v14,v21,v16
7.0,v9,v21,v4,v16,v10,v7,v16,v12,v8,v15,v10,v12
8.0,v13,v5,v11,v18,v8,v11,v17,v18,v18,v6,v11,v6
9.0,v8,v17,v14,v4,v12,v12,v14,v9,v14,v21,v16,v21
10.0,v10,v10,v17,v11,v6,v21,v2,v13,v12,v18,v17,v8
11.0,v12,v4,v2,v17,v11,v14,v6,v3,v4,v13,v6,v13
12.0,v14,v15,v9,v8,v9,v9,v3,v16,v2,v3,v18,v11
13.0,v16,v9,v12,v7,v14,v15,v9,v15,v11,v12,v7,v3
14.0,v6,v12,v10,v14,v4,v10,v13,v11,v10,v2,v8,v14
15.0,v17,v2,v3,v2,v7,v18,v7,v6,v5,v7,v9,v7
16.0,v11,v13,v15,v3,v13,v17,v11,v14,v13,v10,v12,v9
17.0,v18,v3,v21,v15,v5,v16,v10,v10,v9,v9,v14,v10
18.0,v3,v11,v13,v13,v3,v13,v12,v8,v3,v11,v5,v18
,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19,v19
